y z u v
-0.2172 1.6586 0.1348 -0.3672
-0.2172 1.7690 0.1007 -0.2839
-0.2172 1.8793 0.0765 -0.2236
-0.2172 1.9897 0.0591 -0.1791
-0.2172 2.1000 0.0463 -0.1455
-0.0724 -1.1000 0.0059 -0.1556
-0.0724 -0.9897 0.0058 -0.1923
-0.0724 -0.8793 0.0049 -0.2411
-0.0724 -0.7690 0.0029 -0.3070
-0.0724 -0.6586 -0.0015 -0.3974
-0.0724 -0.5483 -0.0100 -0.5230
-0.0724 -0.4379 -0.0256 -0.6989
-0.0724 -0.3276 -0.0524 -0.9441
-0.0724 -0.2172 -0.0939 -1.2775
-0.0724 -0.1069 -0.1475 -1.7061
-0.0724 0.0034 -0.1971 -2.2036
-0.0724 0.1138 -0.2191 -2.6997
-0.0724 0.2241 -0.2071 -3.1100
-0.0724 0.3345 -0.1747 -3.3876
-0.0724 0.4448 -0.1351 -3.5260
-0.0724 0.5552 -0.0927 -3.5326
-0.0724 0.6655 -0.0452 -3.4104
-0.0724 0.7759 0.0118 -3.1566
-0.0724 0.8862 0.0772 -2.7738
-0.0724 0.9966 0.1373 -2.2919
-0.0724 1.1069 0.1693 -1.7813
-0.0724 1.2172 0.1664 -1.3252
-0.0724 1.3276 0.1429 -0.9682
-0.0724 1.4379 0.1146 -0.7088
-0.0724 1.5483 0.0892 -0.5258
-0.0724 1.6586 0.0691 -0.3970
-0.0724 1.7690 0.0537 -0.3054
-0.0724 1.8793 0.0421 -0.2392
-0.0724 1.9897 0.0334 -0.1904
-0.0724 2.1000 0.0269 -0.1539
0.0724 -1.1000 0.0270 -0.1545
0.0724 -0.9897 0.0335 -0.1912
0.0724 -0.8793 0.0422 -0.2402
0.0724 -0.7690 0.0538 -0.3068
0.0724 -0.6586 0.0692 -0.3989
0.0724 -0.5483 0.0895 -0.5285
0.0724 -0.4379 0.1148 -0.7126
0.0724 -0.3276 0.1433 -0.9735
0.0724 -0.2172 0.1668 -1.3322
0.0724 -0.1069 0.1697 -1.7897
0.0724 0.0034 0.1376 -2.3008
0.0724 0.1138 0.0775 -2.7817
0.0724 0.2241 0.0119 -3.1625
0.0724 0.3345 -0.0451 -3.4139
0.0724 0.4448 -0.0927 -3.5338
0.0724 0.5552 -0.1351 -3.5248
0.0724 0.6655 -0.1747 -3.3841
0.0724 0.7759 -0.2072 -3.1042
0.0724 0.8862 -0.2193 -2.6919
0.0724 0.9966 -0.1974 -2.1949
0.0724 1.1069 -0.1479 -1.6978
0.0724 1.2172 -0.0943 -1.2706
0.0724 1.3276 -0.0527 -0.9388
0.0724 1.4379 -0.0259 -0.6951
0.0724 1.5483 -0.0102 -0.5203
0.0724 1.6586 -0.0017 -0.3955
0.0724 1.7690 0.0027 -0.3056
0.0724 1.8793 0.0048 -0.2401
0.0724 1.9897 0.0057 -0.1915
0.0724 2.1000 0.0058 -0.1550
0.2172 -1.1000 0.0464 -0.1460
0.2172 -0.9897 0.0592 -0.1798
0.2172 -0.8793 0.0766 -0.2246
0.2172 -0.7690 0.1008 -0.2852
